 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Internações por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"350010 Adamantina";-;-;-;-;-;-;-;1;5;4;3;2;-;1;2;-;4;1;3;1;4;1;3;2;3;3;3;5;3;2;1;4;-;1;2;2;1;-;2;1;8;2;2;3;1;6;7;3;4;3;2;10;1;1;4;2;3;6;1;4;3;7;5;4;5;5;1;3;-;2;-;2;2;5;6;1;-;1;-;1;5;3;4;1;1;4;4;1;1;6;2;3;5;2;1;3;6;4;8;8;5;4;2;4;1;5;11;7;9;13;5;334
"350020 Adolfo";-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;1;2;2;-;1;-;-;1;-;2;-;-;1;1;-;1;1;1;-;-;-;-;-;1;-;2;-;-;-;1;-;-;1;-;-;1;-;-;-;1;-;1;-;-;2;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;37
"350030 Aguaí";-;-;-;-;-;-;1;4;4;4;2;1;5;2;2;2;2;1;4;5;1;4;3;3;3;4;5;4;6;1;4;4;5;4;3;2;1;1;5;2;-;6;3;1;5;6;5;8;3;3;6;2;2;4;3;1;-;2;2;2;2;4;7;1;3;1;2;4;1;-;1;4;1;1;1;-;3;4;3;1;1;5;4;3;5;2;-;3;4;3;2;3;2;4;2;3;1;3;3;2;4;6;5;3;6;1;1;4;2;1;-;300
"350040 Águas da Prata";-;-;-;-;-;-;-;1;2;1;-;2;-;-;3;-;1;-;-;4;-;2;-;3;-;-;2;1;2;-;-;1;-;1;1;1;-;-;3;-;-;-;1;-;-;-;1;-;-;1;-;2;1;1;1;1;-;-;1;-;-;-;2;1;-;1;1;-;-;-;1;-;-;2;1;-;-;-;1;-;1;1;2;1;3;-;1;2;-;1;-;-;1;-;-;-;1;-;1;-;1;1;1;2;-;-;-;1;-;1;-;73
"350050 Águas de Lindóia";-;-;-;-;-;-;3;4;5;2;-;3;4;2;4;1;2;3;5;-;1;2;1;11;5;1;2;3;1;1;4;1;3;4;4;-;6;5;1;6;1;2;2;2;4;4;7;2;1;3;3;-;1;2;3;-;1;1;5;2;1;-;-;1;2;1;1;-;3;3;2;3;1;2;3;7;3;-;2;1;2;-;2;2;4;2;4;2;-;2;1;1;-;1;2;8;4;3;1;5;3;2;3;2;4;3;-;4;6;1;1;257
"350055 Águas de Santa Bárbara";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;1;-;2;-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;1;2;2;1;-;1;-;-;-;1;-;-;2;1;-;1;-;2;1;-;1;2;2;1;2;1;-;1;-;-;-;-;1;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;1;-;-;-;48
"350060 Águas de São Pedro";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;1;-;16
"350070 Agudos";-;-;-;-;-;-;-;3;2;2;5;4;3;-;1;2;3;4;1;-;1;-;1;3;3;6;-;1;2;4;2;1;3;2;4;2;1;1;2;1;2;3;1;3;3;4;7;2;3;4;4;4;3;4;2;1;-;1;4;2;3;5;4;3;2;3;1;2;3;2;5;4;5;4;3;4;2;5;2;5;2;1;5;5;2;4;3;5;-;4;2;3;6;3;5;4;2;2;2;2;5;1;4;2;3;1;3;4;9;4;4;296
"350075 Alambari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;1;-;21
"350080 Alfredo Marcondes";-;-;-;-;-;-;-;3;-;-;-;-;-;3;-;1;-;-;-;-;1;1;-;-;-;1;-;1;-;2;-;-;1;-;1;-;-;-;-;1;-;-;2;-;-;-;1;-;1;-;1;1;-;2;1;-;1;-;-;1;-;-;-;1;1;-;-;-;-;1;1;2;2;-;-;2;1;-;-;-;-;1;-;-;-;-;-;1;1;-;1;2;2;3;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;52
